Metabolite_name,RefMet_name,Effect_Size,p_value,q_value
porphobilinogen,Porphobilinogen,0.812965505920802,1.1365319353312937e-11,5.443987970236898e-09
4-hydroxybenzaldehyde,4-Hydroxybenzaldehyde,-0.5984616433708236,5.055177183215163e-09,1.2107149353800317e-06
acetylalanine,N-Acetylalanine,0.5752904129507893,3.549396590730987e-08,4.2504024174003575e-06
9.10-diHOME,"9,10-DiHOME",0.6067531416816458,3.0136060348433824e-08,4.2504024174003575e-06
ethyl glucuronide,Ethyl glucuronide,0.5699985919770273,1.4211478430553877e-07,1.3084363614056523e-05
orotate,Orotic acid,0.5177181140448899,1.6389599516563495e-07,1.3084363614056523e-05
C48:1 TAG [M+NH4]+,TG 48:1,-0.5624029549768043,3.8629459913632e-07,2.405257840406116e-05
hydroxycotinine,trans-3-Hydroxycotinine,0.5272778799602476,4.0171320925363105e-07,2.405257840406116e-05
C14:0 CE,CE 14:0,0.5233377513211974,1.515499275698759e-06,8.065823922885618e-05
caffeine,Caffeine,-0.46190049788285037,2.9137387994827647e-06,0.00013956808849522443
C2 Ceramide (d18:1),Cer 18:1;O2/2:0,0.48708936348668147,4.069728282395281e-06,0.0001772181679333945
ornithine,Ornithine,-0.4332012623261838,6.004972695574235e-06,0.00019175879474533724
fucose,Fucose,0.43628420236528986,5.075689586678254e-06,0.00019175879474533724
C22:1 MAG,MG 22:1,0.4963059385845593,5.79216695459495e-06,0.00019175879474533724
salicylate,Salicylic acid,-0.478869679321074,5.402672664437224e-06,0.00019175879474533724
saccharin,Saccharin,-0.45836132880453806,8.455295391706692e-06,0.0002531304057892191
C16:0 CE,CE 16:0,0.49641772448091104,9.98482036266704e-06,0.0002657071640954174
linoleoylethanolamide,Linoleoyl-EA,0.44972487573661624,9.647116097094945e-06,0.0002657071640954174
glycochenodeoxycholate,Glycochenodeoxycholic acid,0.4337082590288225,1.1891492632994519e-05,0.000299790787958125
uridine,Uridine,-0.41579875778676845,1.4283696419390757e-05,0.0003392603786819973
C22:4 CE [M+NH4]+,CE 22:4,0.4640932835825756,1.4873628292947691e-05,0.0003392603786819973
C20:0 LPE,LPE 20:0,-0.42081354518925485,1.7815116147790355e-05,0.0003878836652177991
C22:4 CE,CE 22:4,0.46691455162550055,2.0360817811880297e-05,0.00042403616225611575
C16:0 CE [M+NH4]+,CE 16:0,0.46402339716642305,2.4141269547713138e-05,0.000481819504723108
aspartate,Aspartic acid,-0.4010429790221507,2.7516649910891257e-05,0.0005272190122926765
cholesterol,Cholesterol,0.4378632579038987,3.405153028864638e-05,0.000627333961856216
C20:4 carnitine,CAR 20:4,-0.40566547430651567,4.4765799107844894e-05,0.0007941784360243594
chenodeoxycholate,Chenodeoxycholic acid,0.42707929233626357,4.771889146022037e-05,0.0008163338931944842
C51:1 TAG [M+NH4]+,TG 51:1,-0.4580044095682033,5.505136071182875e-05,0.0009092966131367576
C51:2 TAG [M+NH4]+,TG 51:2,-0.44364194369224874,6.446404536851695e-05,0.0010292759243839874
lactose,Lactose,0.40542010376927473,7.959534797562688e-05,0.001207226104539183
corticosterone,Corticosterone,0.4210646339307999,8.064976063727317e-05,0.001207226104539183
C22:0 Ceramide (d18:1),Cer 18:1;O2/22:0,0.3439872581786523,0.00012373448893258118,0.001796024854506254
C56:6 TAG,TG 56:6,-0.39533874834075017,0.000144444018887143,0.0020260736625329068
C56:2 TAG,TG 56:2,-0.4029551485669605,0.00014804296072787418,0.0020260736625329068
C53:3 TAG,TG 53:3,-0.3923409351189818,0.00021377928315563903,0.0028444521286541975
nicotinate,Nicotinic acid,0.36225111633397555,0.0002556961004364724,0.0033102278948397377
C18:1 CE,CE 18:1,0.38303789481570494,0.00027011747086065174,0.003404901803743478
C56:1 TAG,TG 56:1,-0.38881235348990284,0.0002843908941774919,0.0034929035464363748
lysine,Lysine,-0.3639260385423959,0.0003214189307341494,0.003848991695541439
linoleoyl ethanolamide,Linoleoyl-EA,0.3677404373580001,0.0003383684353952903,0.003953133672057172
C46:1 TAG,TG 46:1,-0.34968768053519483,0.00035404881064502906,0.004037842388070688
C16:0 Ceramide (d18:1),Cer 18:1;O2/16:0,0.34377431799436114,0.00038331310773091526,0.00426992973495601
12.13-diHOME,"12,13-DiHOME",0.39486366931164407,0.00043734495831193165,0.004761096250713983
sphingosine,Sphingosine,0.35781483498156424,0.0004993842332311471,0.005214702891537221
C24:0 Ceramide (d18:1),Cer 18:1;O2/24:0,0.3171471256362342,0.0005007856639054533,0.005214702891537221
C52:1 TAG,TG 52:1,-0.37178144392372225,0.0005134093858952462,0.005232406294549424
