Metabolite_name,RefMet_name,Effect_Size,p_value,q_value
adrenate,Adrenic acid,1.0115247790738957,5.9623566668890254e-24,2.8559688434398436e-21
arachidonate,Arachidonic acid,0.8818525364912256,4.8170516514955414e-23,1.1536838705331822e-20
ethyl glucuronide,Ethyl glucuronide,-0.7780148268187801,7.09344856272672e-21,1.1325872871820329e-18
C16:0 SM,SM 18:1;O2/16:0,0.7985504385519502,2.527240568366308e-19,3.0263705806186536e-17
phenyllactate,Phenyllactic acid,0.8447309893389061,8.060207045527151e-18,7.721678349615011e-16
C18:2 CE [M+NH4]+,CE 18:2,0.8734918838185415,1.2969322539521318e-17,1.0353842494051185e-15
eicosadienoate,"11Z,14Z-Eicosadienoic acid",0.7946721540444869,2.5327117404126297e-17,1.7330984623680709e-15
C32:0 PC,PC 32:0,0.7601002827073202,4.026292132255043e-17,2.4107424141877073e-15
eicosatrienoate,Dihomo-gamma-linolenic acid,0.8514020506886446,1.043467469007357e-16,5.553565751716934e-15
N-acetylputrescine,N-Acetylputrescine,0.7826054944655106,2.2865168105118563e-16,1.0952415522351792e-14
docosapentaenoate,Docosapentaenoic acid,0.8761514906285122,2.5266285457475637e-16,1.1002318849209845e-14
docosahexaenoate,Docosahexaenoic acid,0.7548740988774816,4.106973956636378e-16,1.6393671043573542e-14
urobilin,L-Urobilin,-0.7779752651231412,7.035710358911357e-16,2.1063157886990876e-14
C24:1 SM,SM 18:1;O2/24:1,0.8522937263927541,5.99458718840925e-16,2.1063157886990876e-14
nicotinate,Nicotinic acid,-0.7141000891691778,6.933534499859669e-16,2.1063157886990876e-14
4-hydroxystyrene,4-Hydroxystyrene,0.797535612071147,6.374314404868716e-16,2.1063157886990876e-14
C18:2 CE,CE 18:2,0.7514647968130903,2.1359853187390243e-15,5.6840942648666257e-14
C18:1 LPC plasmalogen,LPC P-18:0 or LPC O-18:1,0.7610337297171895,2.023534738542677e-15,5.6840942648666257e-14
C20:4 CE [M+NH4]+,CE 20:4,0.8348789391867588,6.7321451697796944e-15,1.6972092296444598e-13
putrescine,Putrescine,0.8130308146252887,1.205726815724297e-14,2.8877157236596914e-13
C20:4 CE,CE 20:4,0.7709174867647106,1.4207392159622618e-14,3.2406384973615396e-13
taurine,Taurine,0.7647531994848384,1.9001137478059634e-14,4.137065841813893e-13
C24:1 Ceramide (d18:1),Cer 18:1;O2/24:1,0.8499853863345964,1.2517342063396853e-13,2.6068725427683012e-12
C34:1 PC plasmalogen,PC P-34:0 or PC O-34:1,0.5885990574108315,4.289988669750377e-13,8.562102386710128e-12
C18:0 LPC,LPC 18:0,0.6991197200710045,1.105212925899777e-12,2.1175879660239726e-11
C34:0 PC,PC 34:0,0.8536604645791002,1.5067832988560107e-12,2.7759584621231887e-11
C24:0 SM,SM 18:1;O2/24:0,0.7788366721003657,1.830949969719648e-12,3.248240872206339e-11
eicosapentaenoate,Eicosapentaenoic acid,0.6425570515305028,2.165623539636936e-12,3.7047631267360445e-11
C18:1 carnitine,CAR 18:1,0.7928684177178658,5.403310844428616e-12,8.924778946487265e-11
C18:0 LPE-A,LPE 18:0,0.6776155931141908,6.3395525401234775e-12,1.0122152222397152e-10
suberate,Suberic acid,-0.6324246137758148,7.248957034203759e-12,1.1200807804463229e-10
C20:5 CE,CE 20:5,0.6833127283558746,8.905307036911941e-12,1.3330131470877564e-10
hydrocinnamate,Hydrocinnamic acid,-0.6729020381927502,1.1434823096101926e-11,1.659781897888734e-10
C36:1 PC,PC 36:1,0.651757696450424,1.6854215886736895e-11,2.3744615911020507e-10
hydroxycotinine,trans-3-Hydroxycotinine,-0.6224243399218199,3.40165583293302e-11,4.655408982785476e-10
C18:2 carnitine,CAR 18:2,0.7183007419008856,3.7017051224862706e-11,4.925324315752566e-10
C16:1 LPC plasmalogen,LPC P-16:1 or LPC O-16:2,0.6511195727485373,9.761434603122793e-11,1.2637100472691401e-09
N1-methyl-2-pyridone-5-carboxamide,N1-Methyl-2-pyridone-5-carboxamide,0.6856750149569943,1.6242310323565167e-10,2.047385959207293e-09
C14 carnitine,CAR 14:0,0.6631927939768967,1.7422308218425614e-10,2.139816829904069e-09
C18:3 CE,CE 18:3,0.6596321893338193,2.2539025865593959e-10,2.6990483474048767e-09
N-acetylglutamate,N-Acetylglutamic acid,-0.5948532015295708,4.2311993668169045e-10,4.9432792602568225e-09
oxymetazoline,Oxymetazoline,-0.5780397999848417,6.124793590990552e-10,6.985181262105891e-09
C16 carnitine,CAR 16:0,0.6277451769939117,7.60408290746277e-10,8.47059468063876e-09
C38:5 DAG [M+NH4]+,DG 38:5,0.5957432047958274,1.3334961329953342e-09,1.4516923811471934e-08
C38:5 DAG,DG 38:5,0.5791007589912791,1.4735301860500438e-09,1.568491020262158e-08
hexadecanedioate,Hexadecanedioic acid,-0.5279119680799965,1.547006357527408e-09,1.610904446207888e-08
salicylate,Salicylic acid,0.5402825264454002,1.7589554235336682e-09,1.7926375486651638e-08
C20:1 LPC,LPC 20:1,0.605337545558641,2.091291800546898e-09,2.0034575449239287e-08
C34:1 PC,PC 34:1,0.5569455566255878,2.0335206005327535e-09,2.0034575449239287e-08
eicosanedioate,Eicosanedioic acid,-0.6170237373728484,2.0758077724324965e-09,2.0034575449239287e-08
biotin,Biotin,-0.44419182324649237,2.177381029301597e-09,2.045030417716598e-08
p-hydroxyphenylacetate,4-Hydroxyphenylacetic acid,0.5593235879983078,2.9349323592698697e-09,2.703524230942822e-08
4-hydroxybenzeneacetonitrile,4-Hydroxybenzeneacetonitrile,-0.531086979994954,3.0359649365833e-09,2.7438249143837746e-08
C14:1 carnitine,CAR 14:1,0.5880781183865353,3.416800723696828e-09,3.0308287900940385e-08
N1_N12-diacetylspermine,"N1,N12-Diacetylspermine",0.6104249583206451,3.630238916780297e-09,3.161608074795931e-08
C2 carnitine,CAR 2:0,0.566402922389597,3.790963805120134e-09,3.2426279690224e-08
C36:2 PC,PC 36:2,0.5462254245789635,3.910771135122323e-09,3.28641995390104e-08
C24:0 Ceramide (d18:1),Cer 18:1;O2/24:0,0.6673342465728596,6.47748271700224e-09,5.34950727835185e-08
7-methylguanine,7-Methylguanine,0.6610422619434736,6.771964018707958e-09,5.497916550781546e-08
C18:1 CE [M+NH4]+,CE 18:1,0.5908771658731843,9.52665171421341e-09,7.605443618513706e-08
caproate,Caproic acid,-0.585037883907719,1.0239364194226988e-08,8.040418768909389e-08
C16:1 SM,SM 18:1;O2/16:1,0.536533898159661,1.2213987903043213e-08,9.436290654125322e-08
cholate,Cholic acid,0.5152560378424309,1.559510545494579e-08,1.1857230972887354e-07
guanine,Guanine,-0.6044586513029329,1.662158827967342e-08,1.2440219978068077e-07
C22:0 SM,SM 18:1;O2/22:0,0.6179559791518449,2.3679966176615694e-08,1.7450313536306026e-07
C18:0 LPE,LPE 18:0,0.49883902239245875,2.4633705089667658e-08,1.7878098087804253e-07
C36:1 PC plasmalogen,PC P-36:1 or PC O-36:2,0.532032709947473,3.2896821985986584e-08,2.3518772733265037e-07
lithocholate,Lithocholic acid,-0.3999197262438033,3.46857093877257e-08,2.4078919995247265e-07
C34:3 PC,PC 34:3,0.5381200129877418,3.425319049035972e-08,2.4078919995247265e-07
alpha-muricholate,alpha-Muricholic acid,0.5206936259370569,3.9271306762455887e-08,2.687279419888053e-07
diacetylspermine,"N1,N12-Diacetylspermine",0.5915574510087126,4.0648307965931845e-08,2.704241599400188e-07
uridine,Uridine,0.5828343192094076,4.055757285693482e-08,2.704241599400188e-07
