Metabolite_name,Mean_Absolute_SHAP
putrescine,0.5363075
phenyllactate,0.5035935
adrenate,0.39838886
hydrocinnamate,0.35033587
C18:1 LPC plasmalogen,0.32300717
hydroxycotinine,0.30935642
C24:1 Ceramide (d18:1),0.30326015
C34:1 PC plasmalogen,0.2706023
pyridoxine,0.26427707
tetradecanedioate,0.25412163
ethyl glucuronide,0.24108878
nicotinate,0.23443875
C20:5 CE,0.23248649
cinnamoylglycine,0.20796461
5-dodecenoate,0.20255935
C34:0 PC,0.19460416
homovanillate,0.18970303
caproate,0.18906488
acetyl-galactosamine,0.16692667
cholate,0.15991223
pantothenate,0.15486541
4-hydroxystyrene,0.15322487
hydroxymyristate,0.13404058
trigonelline,0.1267031
cytosine,0.12594378
phenylacetate,0.12169751
stearate,0.11697203
anserine,0.11677737
glycoursodeoxycholate,0.11240812
C18:3 LPC,0.108583264
carboxyibuprofen,0.10356377
C34:0 PE,0.103002585
C44:1 TAG [M+NH4]+,0.10072838
1-methylguanosine,0.10070691
9.10-diHOME,0.091137104
acetaminophen,0.088513345
C34:4 PC plasmalogen,0.08565322
C16:1 MAG,0.08412058
1-methylguanine,0.08026997
C2 Ceramide (d18:1),0.07942527
C56:7 TAG,0.07895839
ribothymidine,0.07875429
glycerate,0.07822521
sphinganine,0.077631354
ectoine,0.076355755
N-acetylglutamate,0.07351475
beta-sitosterol,0.07253831
choline,0.071315646
beta-guanidinopropionic acid,0.06698156
C18:0 CE,0.06671502
3-methylhistidine,0.06671085
N1-methyl-2-pyridone-5-carboxamide,0.06581135
gemfibrozil,0.06568846
4-hydroxybenzeneacetonitrile,0.06271902
methylimidazole acetic acid,0.06224586
C2 carnitine,0.06191161
p-hydroxyphenylacetate,0.061160356
alpha-muricholate,0.06072508
linoleoyl ethanolamide,0.059249096
urobilin,0.058167804
docosapentaenoate,0.058067426
3-hydroxyoctanoate,0.055990536
caffeine,0.05559863
carnosol,0.053827357
adipate,0.050343577
palmitate,0.047792096
gentisate,0.047320742
hippurate,0.047279548
C18:1 carnitine,0.047014114
ascorbate,0.046473794
S-methylcysteine-S-oxide,0.046280906
pterin,0.045399107
C34:2 PC plasmalogen,0.04417217
C56:6 TAG [M+NH4]+,0.043739624
C36:5 PC plasmalogen,0.043639634
C14:0 CE,0.04289465
C36:2 PC plasmalogen,0.04229357
3^-O-methyladenosine,0.041531175
metronidazole,0.041387696
alpha-ketoglutarate,0.04133021
N-acetyalanine,0.041283842
imidazolelactate,0.040637743
C34:3 PC,0.039445605
C50:0 TAG [M+NH4]+,0.038318533
C32:2 DAG,0.037974473
N-methylproline,0.037166826
4-aminophenol,0.03682773
2-aminoadipate,0.03657035
4-pyridoxate,0.034637287
dimethylglycine,0.03455591
niacinamide,0.034471165
C30:0 PC,0.034235463
nervonic acid,0.0337542
C16:1 SM,0.03347125
uracil,0.03264221
salicylate,0.03241594
